VD;STATUS;POLÍTICA COML.;CODIGO;PEOP;LOJAS;REGIAO GGL;REGIAO GR;REGIAO DIV;NOME GGL;NOME GR;NOME DIV;REGIAO IM;ENDEREÇO;BAIRRO;CIDADE;UF;CEP;Latitude;Longitude;ESCOAMENTO;NOME DA FACHADA;INAUG.;SAFRA;CLUSTER;"CLUSTER 
ABREV.";PARCELAMENTO;"CLUSTER DE 
PARCELAMENTO";TELEFONE1;TELEFONE2;CELULAR;E-MAIL;2ª a 6ª;SAB;DOM;FUNC.;TIPO LOJA;FACHADA;PSICOTRÓPICOS;FARMÁCIA POP.;"SERVIÇOS
 FARMACEUTICOS";VACINAS;IFOOD;RAPPI;CORNER SHOP;SUPER EXPRESSA;VAGAS/ESTACIONAMENTO;BICICLETARIO;PDVs ATIVOS;IMOBILIÁRIO;CD SUPRIDOR;INSCR. ESTADUAL;CNPJ;CENTRO DE CUSTOS;VD NOVO;DATA DA UNIFICAÇAO;CNPJ NOVO;DATA INATIVAÇAO;REALOCAÇÃO;DATA DA VIRADA;EAC;DENGUE/COVID;INJETAVEIS;REFORMA;Operadora;Circuito/Designação;ID VIVO
1809;A INAUGURAR;9999;1809;L1809;DP GUARAPARI 3;-;-;-;-;-;-;ESTADO DO ESPIRITO SANTO;-;-;-;-;-;-;-;NORMAL;-;-;MADURA;POP_G;POP;Parcela minima de 40 e até 3X;PADRÃO;-;-;-;--;07 ÀS 23;07 ÀS 23;07 ÀS 23;DOMINGOS E FERIADOS;RUA;NEW;EM LICENCIAMENTO;-;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;;;;TAKANO;-;84,150,017;33.438.250/0704-59;3018090000;-;-;-;;NÃO;-;INATIVO;INATIVO;INATIVO;-;;;
2572;ATIVA;9999;2572;L2572;DSP GOIANIA SETOR SUL 1;GO GOIANIA CENTRAL;CENTRO OESTE;NORTE;GUSTAVO SIMARRO;DAISY TOSTA;BRUNO MAGLIANO;-;R 87, 296;SET SUL;GOIANIA;GO;74080-295;-;-;-;DROGARIA SAO PAULO;5/30/2025;2025;AR_G;AR;Parcela minima de 60 e até 3X;PADRÃO;-;-;-;goianiasetorsul@dpsp.com.br;07 ÀS 23;07 ÀS 23;07 ÀS 23;DOMINGOS E FERIADOS;-;-;-;-;INATIVO;INATIVO;-;-;-;-;-;-;-;-;917;201250497;61.412.110/1321-40;2025720000;-;-;-;;NÃO;-;INATIVO;INATIVO;INATIVO;-;;;
2541;A INAUGURAR;9999;2541;L2541;DSP ALDEIA CAMARAGIBE;-;-;-;-;-;-;-;-;-;-;-;54786-013;-;;-;-;-;MADURA;AR_G;AR;-;PADRÃO;-;-;-;--;-;-;-;-;-;-;-;-;INATIVO;INATIVO;-;-;-;-;-;-;-;-;-;116533455;61.412.110/1331-12;-;-;-;-;-;-;-;INATIVO;INATIVO;INATIVO;-;;;
1833;A INAUGURAR;9999;1833;L1833;DP JARDIM MERITI;-;-;-;-;-;-;-;-;-;-;-;25555-201;-;-;NORMAL;-;-;MADURA;POP_G;POP;Parcela minima de 40 e até 3X;PADRÃO;-;-;-;--;-;-;-;-;-;-;-;-;INATIVO;INATIVO;-;-;-;-;-;-;-;-;-;;--;3018330000;-;-;-;-;-;-;INATIVO;INATIVO;INATIVO;-;;;
1821;ATIVA;9999;1821;L1821;DP RECREIO 10;RJ RECREIO;RJ ZONA SUL+NITEROI;NORTE;IARA MARQUES;LUDMILA ARAUJO;BRUNO MAGLIANO;-;RUA ALBERTO BIANCHI, 435;RECREIO DOS BANDEIRANTES;RIO DE JANEIRO;RJ;22790-590;-;-;NORMAL;DROGARIAS PACHECO;2/28/2025;2025;CBR_G;CBR;Parcela minima de 40 e até 3X;PADRÃO;(21)3034-1387;(21)3034-1388;-;recreio10@dpsp.com.br;07 ÀS 23;07 ÀS 23;07 ÀS 23;DOMINGOS E FERIADOS;RUA;-;COMERCIALIZA;-;INATIVO;INATIVO;-;-;-;-;-;-;-;-;906;15174200;33.438.250/0751-75;3018210000;-;-;-;;NÃO;-;INATIVO;INATIVO;INATIVO;-;;;
2548;A INAUGURAR;9999;2548;L2548;DSP SAO JOAO BOA VISTA II;SP AMERICANA;SP INTERIOR;-;EM DEFINIÇÃO;ANDERSON SANTOS;-;-;-;-;-;-;13874-788;-;-;-;-;-;MADURA;AR_G;AR;-;PADRÃO;-;-;-;--;-;-;-;-;-;-;-;-;INATIVO;INATIVO;-;-;-;-;-;-;-;-;-;639220521110;61.412.110/1329-06;-;-;-;-;-;-;-;INATIVO;INATIVO;INATIVO;-;;;
2504;A INAUGURAR;9999;2504;L2504;DSP TAQUARAL III;-;-;-;-;-;-;SP CAMPINAS;-;-;-;-;13087010;-;-;NORMAL;-;-;MADURA;AR_G;AR;-;PADRÃO;-;-;-;--;07 ÀS 23;07 ÀS 23;07 ÀS 23;DOMINGOS E FERIADOS;RUA;NEW;;-;INATIVO;INATIVO;;;;;;;;TAKANO;-;132227270110;61.412.110/1284-61;2025040000;-;-;-;;NÃO;-;INATIVO;INATIVO;INATIVO;-;;;
2495;A INAUGURAR;9999;2495;L2495;DSP CAPIVARI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;NORMAL;-;-;MADURA;CBR_G;CBR;Parcela minima de 40 e até 3X;PADRÃO;-;-;-;--;07 ÀS 23;07 ÀS 23;07 ÀS 23;DOMINGOS E FERIADOS;RUA;NEW;EM LICENCIAMENTO;-;INATIVO;INATIVO;-;-;-;INATIVO;;;;TAKANO;-;253117980112;61.412.110/1288-95;2024950000;-;-;-;;NÃO;-;INATIVO;INATIVO;INATIVO;-;;;
2635;A INAUGURAR;9999;2635;L2635;DSP ALTO RIO PRETO;-;-;-;-;-;-;;-;-;-;-;15025-000;;;;-;-;MADURA;-;-;-;PADRÃO;-;-;-;--;07 ÀS 23;07 ÀS 23;07 ÀS 23;DOMINGOS E FERIADOS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;
2644;A INAUGURAR;9999;2644;L2644;DSP NOVA ALIANÇA;-;-;-;-;-;-;;-;-;-;-;;;;;-;-;MADURA;-;-;-;PADRÃO;-;-;-;--;07 ÀS 23;07 ÀS 23;07 ÀS 23;DOMINGOS E FERIADOS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;
2657;A INAUGURAR;9999;2657;L2657;DSP SABARA II;-;-;-;-;-;-;;-;-;-;-;;;;;-;-;MADURA;-;-;-;PADRÃO;-;-;-;--;07 ÀS 23;07 ÀS 23;07 ÀS 23;DOMINGOS E FERIADOS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;
1260;INATIVA;414;1260;L1260;DP DARK STORE SANTO AGOSTINHO;-;-;DELIVERY;-;-;-;-;AV. ALVARES CABRAL, 1818 - LJ 3,4 E 6;LOURDES;BELO HORIZONTE;MG;30170-001;-19.933549;-43.951278;ESCOADORA;DROGARIAS PACHECO;2/1/1997;MADURA;POLO;POL;-;PADRÃO;-;-;(31)99516-2446;santoagostinho@dpsp.com.br;-;-;-;-;RUA;N/C;-;-;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;N/C;-;3;TAKANO;909;3671539866069;33.438.250/0295-72;3012600000;-;-;-;3/31/2022;NÃO;-;INATIVO;INATIVO;INATIVO;-;;;
1620;INATIVA;815;1620;L1620;DP DL IRAJA (DELIVERY);-;-;DELIVERY;-;-;-;-;AV. TENENTE REBELO, 675, SUP ACURUI 80 PARTE;IRAJA;RIO DE JANEIRO;RJ;21230-900;-22.817983;-43.335277;-;DROGARIAS PACHECO;6/1/2016;MADURA;POLO;POL;-;PADRÃO;(21)3429-7291;(21)3807-5384;N/P;delivery.pacheco@dpsp.com.br;07 ÀS 23;07 ÀS 23;07 ÀS 23;DOMINGOS E FERIADOS;RUA;N/C;-;-;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;7;-;3;ANTIGO;906;11420788;33.438.250/0594-80;3016200000;-;-;-;6/9/2021;NÃO;-;INATIVO;INATIVO;INATIVO;-;;;
1755;ATIVA;417;1755;L1755;DP DARK STORE BELO HORIZONTE;DARK STORE;DELIVERY;DELIVERY;DELIVERY;DELIVERY;LEANDRO ROCHA;MG BH METROPOLITANA;R JOSE BENEDITO ANTAO, 115;CAICARAS;BELO HORIZONTE;MG;31250-115;-;-;NORMAL;DROGARIAS PACHECO;3/31/2022;MADURA;AA_G;AA;Parcela minima de 60 e até 3X;PADRÃO;(31)3785-5703;3879-6620;(31)99844-8900;darkstore.bh@dpsp.com.br;07 ÀS 22;07 ÀS 21;NÃO ABRE;CONVENCIONAL;RUA;-;COMERCIALIZA;-;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;-;-;-;TAKANO;909;24827842027;33.438.250/0627-82;3017550000;-;-;-;;NÃO;-;INATIVO;INATIVO;INATIVO;-;;;
2296;ATIVA;830;2296;L2296;DSP DARK STORE LIMAO;DARK STORE;DELIVERY;DELIVERY;DELIVERY;DELIVERY;LEANDRO ROCHA;SP GDE. SP CENTRO-SUL;R CAMPOS DO CAJURU, 98;VILA PALMEIRAS;SAO PAULO;SP;02726-100;-23.501443;-46.685851;NORMAL;DROGARIA SAO PAULO;5/31/2021;MADURA;AA_G;AA;Parcela minima de 60 e até 3X;PADRÃO;(11)2894-1435;2894-1438;(11)99863-8124;darkstore.limao@dpsp.com.br;24 HORAS;24 HORAS;24 HORAS;24 HORAS;RUA;-;COMERCIALIZA;-;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;-;-;3;TAKANO;910;131009288116;61.412.110/1102-52;2022960000;-;-;-;;NÃO;-;INATIVO;INATIVO;INATIVO;-;;;
1667;ATIVA;815;1667;L1667;DP DARK STORE SAO CRISTOVAO;DELIVERY RJ;DELIVERY;DELIVERY;DELIVERY;DELIVERY;LEANDRO ROCHA;RJ ZONA NORTE;RUA MONSENHOR MANUEL GOMES,98;SAO CRISTOVAO;RIO DE JANEIRO;RJ;20931-670;-22.893852;-43.218504;NORMAL;DROGARIAS PACHECO;6/30/2021;MADURA;AA_G;AA;Parcela minima de 60 e até 3X;PADRÃO;-;-;(21)99568-4821;darkstore.saocristovao@dpsp.com.br;24 HORAS;24 HORAS;24 HORAS;24 HORAS;RUA;-;COMERCIALIZA;-;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;-;-;3;TAKANO;906;11420788;33.438.250/0613-87;3016200000;1620;11/5/2023;33.438.250/0594-80;;NÃO;-;INATIVO;INATIVO;INATIVO;-;;;
2180;ATIVA;830;2180;L2180;DSP DL OSASCO (DELIVERY);DELIVERY SP;DELIVERY;DELIVERY;DELIVERY;DELIVERY;LEANDRO ROCHA;SP GDE. SP OSASCO;R.JOSE DUARTE DE OLIVEIRA;RAPOSO TAVARES;OSASCO;SP;06149-010;-;-;NORMAL;DROGARIA SAO PAULO;1/1/2016;MADURA;POLO;POL;-;PADRÃO;-;-;-;dly.osasco@dpsp.com.br;07 ÀS 19;07 ÀS 19;NÃO ABRE;CONVENCIONAL;RUA;-;COMERCIALIZA;-;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;-;-;3;TAKANO;910;120065508113;61.412.110/1005-32;2021800000;-;-;-;;NÃO;-;INATIVO;INATIVO;INATIVO;-;;;
1274;INATIVA;402;1274;L1274;DP AFONSO PENA 2;-;-;NORTE;-;-;-;-;AV. AFONSO PENA, 771;CENTRO;BELO HORIZONTE;MG;30130-002;-19.920138;-43.937979;NORMAL;DROGARIAS PACHECO;2/1/2007;MADURA;POP_P;POP;Parcela minima de 40 e até 3X;PADRÃO;(31)3273-2667;3222-9035;(31)99507-8707;afonsopena2@dpsp.com.br;07 ÀS 20;07 ÀS 20;NÃO ABRE;CONVENCIONAL;RUA;OLD;COMERCIALIZA;COMERCIALIZA;INATIVO;INATIVO;ATIVO;ATIVO;INATIVO;ATIVO;5;-;3;ANTIGO;909;3671539864651;33.438.250/0281-77;3012740000;-;-;-;8/31/2024;NÃO;-;INATIVO;INATIVO;INATIVO;-;;;
1675;INATIVA;133;1675;L1675;DP FLEMING;-;-;NORTE;-;-;-;-;AV. FLEMING, 650;OURO PRETO;BELO HORIZONTE;MG;31310-490;-19.867780;-43.985300;NORMAL;DROGARIAS PACHECO;12/17/2021;MADURA;AR_M;AR;Parcela minima de 60 e até 3X;PADRÃO;-;-;(31)99762-6610;fleming@dpsp.com.br;07 ÀS 23;07 ÀS 23;07 ÀS 23;DOMINGOS E FERIADOS;RUA;NEW;COMERCIALIZA;-;INATIVO;INATIVO;ATIVO;INATIVO;ATIVO;ATIVO;10;-;3;TAKANO;909;24827843503;33.438.250/0646-45;3016750000;-;-;-;8/31/2024;NÃO;-;INATIVO;INATIVO;INATIVO;-;;;
2223;INATIVA;920;2223;L2223;DSP ALAGOINHAS II;-;-;NORTE;-;-;-;-;R DANTAS BIAO, 62;ALAGOINHAS VELHA;ALAGOINHAS;BA;48030-030;-12.137810;-38.416560;NORMAL;DROGARIA SAO PAULO;4/29/2022;MADURA;POP_M;POP;Parcela minima de 40 e até 3X;PADRÃO;(75)3366-1543;3366-1544;(75)99822-6855;alagoinhas2@dpsp.com.br;07 ÀS 23;07 ÀS 23;07 ÀS 23;DOMINGOS E FERIADOS;RUA;NEW;COMERCIALIZA;-;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;12;-;3;TAKANO;915;188346343 ;61.412.110/1129-72 ;2022230000;-;-;-;8/31/2024;NÃO;-;INATIVO;INATIVO;INATIVO;-;;;
799;INATIVA;109;799;VD799;DSP SALVADOR II;-;-;NORTE;-;-;-;-;EST DA LIBERDADE, 352;LIBERDADE;SALVADOR;BA;40375-016;-12.947456;-38.491579;NORMAL;DROGARIA SAO PAULO;12/31/2014;MADURA;POP_M;POP;Parcela minima de 40 e até 3X;PADRÃO;(71)3042-5802;3042-5801;(71)99714-7484;salvador2@dpsp.com.br;07 ÀS 22;07 ÀS 22;07 ÀS 22;DOMINGOS E FERIADOS;RUA;N/C;COMERCIALIZA;-;INATIVO;INATIVO;ATIVO;INATIVO;INATIVO;INATIVO;-;-;3;TAKANO;915;153008535;61.412.110/0677-30;2007990000;-;-;-;8/31/2024;NÃO;-;INATIVO;INATIVO;INATIVO;-;;;
1512;INATIVA;498;1512;L1512;DP ANIL;-;-;NORTE;-;-;-;-;AV. TENENTE CORONEL MUNIZ DE ARAGAO, 1258 LJ A;ANIL;RIO DE JANEIRO;RJ;22765-008;-22.955625;-43.352008;NORMAL;DROGARIAS PACHECO;6/30/2016;MADURA;POP_P;POP;Parcela minima de 40 e até 3X;PADRÃO;(21)3556-5241;3556-5350;(21)97213-7850;anil@dpsp.com.br;07 ÀS 22;07 ÀS 22;07 ÀS 22;DOMINGOS E FERIADOS;RUA;N/C;COMERCIALIZA;-;INATIVO;INATIVO;ATIVO;INATIVO;ATIVO;INATIVO;-;-;4;ANTIGO;906;77291679;33.438.250/0519-00;3015120000;-;-;-;8/31/2024;NÃO;-;INATIVO;INATIVO;INATIVO;-;;;
1465;INATIVA;501;1465;L1465;DP FREGUESIA 3;-;-;NORTE;-;-;-;-;EST PAU-FERRO, 668;PECHINCHA;RIO DE JANEIRO;RJ;22743-051;-22.927578;-43.340120;NORMAL;DROGARIAS PACHECO;10/27/2014;MADURA;AR_M;AR;Parcela minima de 60 e até 3X;PADRÃO;(21)2425-4031;2425-4011;(21)97266-0424;freguesia3@dpsp.com.br;07 ÀS 22;07 ÀS 22;07 ÀS 22;DOMINGOS E FERIADOS;RUA;N/C;COMERCIALIZA;COMERCIALIZA;INATIVO;INATIVO;ATIVO;INATIVO;ATIVO;ATIVO;-;-;3.0;ANTIGO;906;86073196;33.438.250/0480-11;3014650000;-;-;-;9/30/2024;NÃO;-;INATIVO;INATIVO;INATIVO;-;;;
1392;INATIVA;435;1392;L1392;DP NOVA IGUACU 8;-;-;NORTE;-;-;-;-;AV. GOVERNADOR AMARAL PEIXOTO, 514 - LJ A;CENTRO;NOVA IGUACU;RJ;26210-060;-22.758003;-43.452392;NORMAL;DROGARIAS PACHECO;4/25/2009;MADURA;POP_PPP;POP;Parcela minima de 40 e até 3X;PADRÃO;(21)2669-2866;2669-4500;(21)99687-5788;novaiguacu8@dpsp.com.br;07 ÀS 22;07 ÀS 22;07 ÀS 20;DOMINGOS E FERIADOS;RUA;N/C;COMERCIALIZA;BLOQUEADA;INATIVO;INATIVO;ATIVO;INATIVO;INATIVO;ATIVO;-;-;3.0;ANTIGO;906;78694840;33.438.250/0352-03;3013920000;-;-;-;9/30/2024;NÃO;-;INATIVO;INATIVO;INATIVO;-;;;
1449;INATIVA;9999;1449;L1449;DP BANDEIRANTES;-;-;NORTE;-;-;-;-;AVENIDA BANDEIRANTES, 272 QD 26 LT 6/8;VILA YPIRANGA;LONDRINA;PR;86010-020;-;-;-;DROGARIAS PACHECO;12/30/2014;MADURA;-;-;-;PADRÃO;-;-;-;-;07 ÀS 23;07 ÀS 23;07 ÀS 23;DOMINGOS E FERIADOS;RUA;N/C;-;-;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;5;-;4.0;ANTIGO;906;  635,250,597,119 ;33.438.250/0464-00;3014490000;-;-;-;5/11/2017;NÃO;-;INATIVO;INATIVO;INATIVO;-;;;
1104;INATIVA;9999;1104;L1104;DP BARRA DO PIRAI 1;-;-;NORTE;-;-;-;-;PC NILO PECANHA, 114;CENTRO;BARRA DO PIRAI;RJ;27123-020;-;-;-;DROGARIAS PACHECO;5/20/1998;MADURA;-;-;-;PADRÃO;-;-;-;-;07 ÀS 23;07 ÀS 23;07 ÀS 23;DOMINGOS E FERIADOS;RUA;N/C;-;-;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;6;-;3.0;ANTIGO;906;  635,772,830,110 ;33.438.250/0118-78;3011040000;-;-;-;3/31/2019;NÃO;-;INATIVO;INATIVO;INATIVO;-;;;
1355;INATIVA;9999;1355;L1355;DP BARREIRO 3;-;-;NORTE;-;-;-;-;AV. SINFRONIO BROCHADO, 518;BARREIRO;BELO HORIZONTE;MG;30640-000;-;-;-;DROGARIAS PACHECO;8/13/2012;MADURA;-;-;-;PADRÃO;-;-;-;-;07 ÀS 23;07 ÀS 23;07 ÀS 23;DOMINGOS E FERIADOS;RUA;N/C;-;-;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;5;-;3.0;ANTIGO;909;635292963114;33.438.250/0407-03;3013550000;-;-;-;3/31/2019;NÃO;-;INATIVO;INATIVO;INATIVO;-;;;
1089;INATIVA;9999;1089;L1089;DP CAMPO GRANDE 3;-;-;NORTE;-;-;-;-;RUA CORONEL AGOSTINHO, 48;CAMPO GRANDE;RIO DE JANEIRO;RJ;23050-360;-;-;-;DROGARIAS PACHECO;4/17/1997;MADURA;-;-;-;PADRÃO;-;-;-;-;07 ÀS 23;07 ÀS 23;07 ÀS 23;DOMINGOS E FERIADOS;RUA;N/C;-;-;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;12;-;3.0;ANTIGO;906;635954283116;33.438.250/0105-53;3010890000;-;-;-;1/15/2018;NÃO;-;INATIVO;INATIVO;INATIVO;-;;;
1250;INATIVA;9999;1250;L1250;DP CORONEL FABRICIANO;-;-;NORTE;-;-;-;-;RUA PEDRO NOLASCO, 307;CENTRO;CORONEL FABRICIANO;MG;35170-300;-;-;-;DROGARIAS PACHECO;3/3/2011;MADURA;-;-;-;PADRÃO;-;-;-;-;07 ÀS 23;07 ÀS 23;07 ÀS 23;DOMINGOS E FERIADOS;POSTO;N/C;-;BLOQUEADA;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;N/C;-;3.0;ANTIGO;909;635660020114;33.438.250/0263-95;3012500000;-;-;-;4/29/2016;NÃO;-;INATIVO;INATIVO;INATIVO;-;;;
1263;INATIVA;9999;1263;L1263;DP FORMIGA;-;-;NORTE;-;-;-;-;RUA BARÃO DE PIUMHIL, 92;CENTRO;FORMIGA;MG;35570-000;-;-;-;DROGARIAS PACHECO;2/25/2011;MADURA;-;-;-;PADRÃO;-;-;-;-;07 ÀS 23;07 ÀS 23;07 ÀS 23;DOMINGOS E FERIADOS;RUA;OLD;-;-;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;10;-;4.0;ANTIGO;909;635093631117;33.438.250/0291-49;3012690000;-;-;-;1/31/2017;NÃO;-;INATIVO;INATIVO;INATIVO;-;;;
1421;INATIVA;9999;1421;L1421;DP GOV VALADARES 3;-;-;NORTE;-;-;-;-;RUA MARECHAL FLORIANO, 816;CENTRO;GOVERNADOR VALADARES;MG;35010-141;-;-;-;DROGARIAS PACHECO;10/14/2011;MADURA;-;-;-;PADRÃO;-;-;-;-;07 ÀS 23;07 ÀS 23;07 ÀS 23;DOMINGOS E FERIADOS;RUA;N/C;-;-;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;9;-;3.0;ANTIGO;909;635905440118;33.438.250/0436-48;3014210000;-;-;-;12/26/2015;NÃO;-;INATIVO;INATIVO;INATIVO;-;;;
1479;INATIVA;9999;1479;L1479;DP IPATINGA 2;-;-;NORTE;-;-;-;-;AVENIDA SIMON BOLIVAR, 575;CIDADE NOBRE;IPATINGA;MG;35162-410;-;-;-;DROGARIAS PACHECO;5/20/2015;MADURA;-;-;-;PADRÃO;-;-;-;-;07 ÀS 23;07 ÀS 23;07 ÀS 23;DOMINGOS E FERIADOS;RUA;N/C;-;-;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;10;-;;ANTIGO;909;118216910118;33.438 250/0497-60;3014790000;-;-;-;1/31/2017;NÃO;-;INATIVO;INATIVO;INATIVO;-;;;
